"Name","Gross Export","Share","Code","Sector"
"Lard oil, tallow oil etc.","164557","0.00039025117974258864","1503","Agriculture"
"Fish oils","69028264","0.16370231264293136","1504","Agriculture"
"Other animal fats and oils","12487","0.00002961324332265236","1506","Agriculture"
"Soybean oil","24615942","0.05837734284153902","1507","Agriculture"
"Peanut oil","6731","0.000015962740514516938","1508","Agriculture"
"Olive oil","35269560","0.08364267335331839","1509","Agriculture"
"Olive oil, blended","6898384","0.016359695997845106","1510","Agriculture"
"Palm oil","461063","0.001093422824222957","1511","Agriculture"
"Sunflower seed oil","28997182","0.06876756676841797","1512","Agriculture"
"Coconut & palm kernel oil","7398","0.00001754454825826717","1513","Agriculture"
"Rapeseed, colza or mustard oil,","22354","0.000053013088911233345","1514","Agriculture"
"Other vegetable fats and oils","32915258","0.07805938529525744","1515","Agriculture"
"Vegetable fats, hydrogenated","1587236","0.003764171208334543","1516","Agriculture"
"Margarine","3603583","0.008545990246846604","1517","Agriculture"
"Animal or vegetable fats and oils, processed","3126720","0.007415097314151003","1518","Agriculture"
"Stearic acid","6476462","0.015359097067022643","1519","Agriculture"
"Glycerol","21244","0.00005038069521473746","1520","Agriculture"
"Vegetable waxes and beeswax","23345","0.00005536327103125805","1521","Agriculture"
"Sausages","284949","0.0006757639202007261","1601","Agriculture"
"Other prepared or preserved meat","673312","0.001596776814932466","1602","Agriculture"
"Extracts and juices of meat or fish","1369","0.000003246618892344925","1603","Agriculture"
"Prepared or preserved fish","698923392","1.6575148931840742","1604","Agriculture"
"Prepared aquatic invertibrates","528109088","1.252424355237289","1605","Agriculture"
"Sugarcane & sucrose","163635312","0.38806537282246617","1701","Agriculture"
"Other sugars","251243","0.0005958292698096537","1702","Agriculture"
"Molasses","12749787","0.030236449486905567","1703","Agriculture"
"Confectionery sugar","14503651","0.03439578330502364","1704","Agriculture"
"Cocoa beans","1020","0.0000024189563697529755","1801","Agriculture"
"Cocoa paste","614252","0.0014567144980720634","1803","Agriculture"
"Cocoa butter","1198","0.0000028410879715333964","1804","Agriculture"
"Cocoa powder","2549","0.0000060450193985297395","1805","Agriculture"
"Chocolates","3849639","0.009129518412058307","1806","Agriculture"
"Malt extract","1921655","0.0045572545124682885","1901","Agriculture"
"Pasta","53275176","0.12634345719108905","1902","Agriculture"
"Cereal foods","620181","0.0014707752748527158","1904","Agriculture"
"Bakery products","8491386","0.02013754142424631","1905","Agriculture"
"Pickled fruits and vegetables","19781414","0.04691213470394185","2001","Agriculture"
"Tomatoes, prepared or preserved","7276628","0.017256711422473387","2002","Agriculture"
"Mushrooms, prepared or preserved","242333","0.0005746989744621056","2003","Agriculture"
"Other vegetables, frozen","1114834","0.002643857652467832","2004","Agriculture"
"Other vegetables, prepared or preserved","126440944","0.29985796753566596","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","145752","0.000345654636082584","2006","Agriculture"
"Jams, jellies and marmalades","643327","0.0015256666122392868","2007","Agriculture"
"Fruits and nuts, otherwise prepared","23096666","0.054774340530153905","2008","Agriculture"
"Fruit juices","4873115","0.011556718205675266","2009","Agriculture"
"Coffee extracts","29721752","0.07048590325550808","2101","Agriculture"
"Yeasts","9757578","0.02314034848672696","2102","Agriculture"
"Sauces and seasonings","960957","0.002278934368832069","2103","Agriculture"
"Soups and broths","5882918","0.01395149212630827","2104","Agriculture"
"Food preparations n.e.c.","31058664","0.0736564246262916","2106","Agriculture"
"Waters","171919","0.0004077103530701586","2201","Agriculture"
"Waters, flavored or sweetened","11953661","0.02834841609589973","2202","Agriculture"
"Beer","5510878","0.013069189648070136","2203","Agriculture"
"Wine","6407968","0.015196661775267878","2204","Agriculture"
"Ethyl alcohol > 80%","1389","0.0000032940494093989048","2207","Agriculture"
"Spirits < 80% alcohol","871987","0.002067939713717439","2208","Agriculture"
"Vinegars","1075761","0.002551195022825324","2209","Agriculture"
"Flours of fish, for animal feed","156747024","0.3717296197496299","2301","Agriculture"
"Starch residues","23603","0.000055975124701254394","2303","Agriculture"
"Solid soybean residues","50250","0.00011916917409812452","2304","Agriculture"
"Solid vegetable oil and fat residues","575983","0.0013659585752151255","2306","Agriculture"
"Vegetable materials for animal feeding","1466","0.0000034766569000567275","2308","Agriculture"
"Animal feed","19434630","0.04608972748263948","2309","Agriculture"
"Cigars and cigarettes","20447856","0.04849261913626627","2402","Agriculture"
"Other manufactured tobacco","664163","0.0015750797249061228","2403","Agriculture"
"Salt","5416836","0.012846166613830616","2501","Minerals"
"Sulphur, crude","35932","0.0000852136669391803","2503","Minerals"
"Natural graphite","3763","0.00000892405178370632","2504","Minerals"
"Natural sands","2965276","0.007032228694387866","2505","Minerals"
"Quartz","446641","0.001059220678375332","2506","Minerals"
"Kaolin","3581731","0.008494167663913426","2507","Minerals"
"Clays","6449094","0.015294193147485976","2508","Minerals"
"Chalk","24121","0.00005720357509295247","2509","Minerals"
"Natural calcium phosphates","778018816","1.8450917360302628","2510","Minerals"
"Natural barium sulfate","36238588","0.08594074830730758","2511","Minerals"
"Natural abrasives","41238","0.00009779698311360118","2513","Minerals"
"Marble","7689174","0.018235074926900945","2515","Minerals"
"Granite","49417","0.00011719369306282626","2516","Minerals"
"Gravel","462209","0.00109614059285015","2517","Minerals"
"Natural magnesia","3750","0.000008893221947621233","2519","Minerals"
"Gypsum","23058262","0.05468326445130685","2520","Minerals"
"Limstone","162296","0.0003848891597896362","2521","Minerals"
"Quicklime","1565134","0.0037117557439381894","2522","Minerals"
"Cements","44653884","0.10589784032942204","2523","Minerals"
"Asbestos","9261","0.000021962700921845397","2524","Minerals"
"Natural steatite","3574","0.00000847583339754621","2526","Minerals"
"Feldspar","25601822","0.0607153827491979","2529","Minerals"
"Mineral substances n.e.c.","1588152","0.0037663435260156153","2530","Minerals"
"Iron ores and concentrates","395425","0.0009377606103035003","2601","Minerals"
"Manganese > 47% by weight","16323524","0.038711659173152516","2602","Minerals"
"Copper ore","96104304","0.2279138414916435","2603","Minerals"
"Cobalt ore","1296","0.000003073497505097898","2605","Minerals"
"Lead ore","58549044","0.13885057149681101","2607","Minerals"
"Zinc ore","31827440","0.07547959678522612","2608","Minerals"
"Chromium ore","14150","0.00003355709081569079","2610","Minerals"
"Titanium ore","23703","0.00005621227728652429","2614","Minerals"
"Precious metal ores","3745452","0.008882436248043158","2616","Minerals"
"Other ores","2276201","0.005398069517439306","2617","Minerals"
"Iron or steel slag","905422","0.0021472316806024298","2619","Minerals"
"Slag, ash and residues containing metals","6317430","0.014981948567616215","2620","Minerals"
"Other slag and ash","1580","0.000003747010847264413","2621","Minerals"
"Coal","8617","0.000020435438272707246","2701","Minerals"
"Peat","32858","0.0000779235964679836","2703","Minerals"
"Petroleum oils, refined","142916944","0.3389312274847346","2710","Minerals"
"Petroleum gases","6675758","0.015831732683362142","2711","Minerals"
"Petroleum jelly","10299","0.000024424344756946954","2712","Minerals"
"Petroleum coke","439761","0.001042904580508763","2713","Minerals"
"Bitumen and asphalt, natural","213111","0.0005053982459945357","2714","Minerals"
"Bituminous mixtures","41037","0.00009732030641720867","2715","Minerals"
"Electrical energy","7746107","0.01837009300827266","2716","Minerals"
"Iodine","5114","0.000012127983210702663","2801","Chemicals"
"Sulfur, sublimed or precipitated","23842","0.00005654191938004945","2802","Chemicals"
"Carbon","9465","0.000022446492195795993","2803","Chemicals"
"Silicon & rare gases","34941","0.0000828634848191556","2804","Chemicals"
"Rare-earth metals","31181","0.00007394654761300738","2805","Chemicals"
"Sulfiric acid, oleum","17279","0.00004097759520878594","2807","Chemicals"
"Sulfonitric acids","27948","0.00006627940453123153","2808","Chemicals"
"Phosphoric acid etc.","1059928192","2.5136471093325046","2809","Chemicals"
"Other inorganic acids","9099970","0.02158081411378528","2811","Chemicals"
"Halides of nonmetals","2931","0.000006950942274260756","2812","Chemicals"
"Sodium hydroxide","52207","0.00012381025019185646","2815","Chemicals"
